name,mm_x,mm_y,um_x,um_y
E20-72_2 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-72_4 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-72_1 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-73_1 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-73_2 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-73_4 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-73_6 TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-69_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-69_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-69_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-69_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-139_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-139_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-139_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-139_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-126_1 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-126_2 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-126_4 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-126_6 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
A20-175_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
A20-175_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
A20-175_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
A20-175_6_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
E20-127_1 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-127_2 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-127_4 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
E20-127_6 Tau.svs,0.0002519,0.0002519,0.2519,0.2519
A20-174_1_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
A20-174_2_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
A20-174_4_TAU.svs,0.0002519,0.0002519,0.2519,0.2519
